Column1,CPI Score (new),CPI score (old) ,Income Inequality (GINI),Political Regime ,GDP pc growth,economic freedom rating ,human rights score ,aid received pc ,GDP pc intl $,pop below national poverty line,exports/ gdp,unemployment rate ,"Foreign direct investment, net inflows (% of GDP)",Oil rents (% of GDP),Fuel exports (% of merchandise exports),human rights violations 
1995,,2.7,0.44378367,8,1.785763666,4.35,-1.650048991,,15323.49839,,25.49516,10.23999977,1.272482797,13.93628329,76.65072558,
1996,,2.5,,8,-2.231038298,,-1.642154628,,14981.62528,,38.96858,11.77000046,3.094557173,23.04058004,80.90898888,
1997,,2.8,0.46024958,8,4.253305451,,-1.343596165,,15618.83956,55.6,30.66275,11.15999985,7.224772407,17.20689587,78.90043942,
1998,,2.3,0.45385194,8,-1.660281689,,-1.121206326,,15359.52283,49,22.10611,11.14999962,5.458156482,8.099708402,71.69081122,
1999,,2.6,0.45226588,7,-7.767545647,,-1.078763561,,14166.46488,42.8,21.6549,14.52999973,2.949675286,12.02311777,81.45362223,
2000,,2.7,0.42408563,7,1.740719655,5.89,-1.032138627,3.65,14413.06332,41.6,28.47536,13.30000019,4.014829223,19.27495101,86.14038458,
2001,,2.8,0.44688217,6,1.487289558,5.9,-1.098599743,2.6,14627.4273,31.1,23.12947,12.77999973,3.013735273,13.19595541,83.24371267,
2002,,2.5,0.4597117,6,-10.50653144,4.81,-1.187096066,3.11,13090.59206,41.1,29.06584,16.17000008,0.819216933,17.17493675,80.29944322,
2003,,2.4,0.44826046,6,-9.394985263,4.44,-1.120812741,3.65,11860.73286,54,32.97894,16.78000069,1.881114776,19.8849458,82.36583999,
2004,,2.3,0.44109288,6,16.22568675,4.91,-1.129135357,1.63,13785.21822,53.1,40.73503,13.98999977,1.324104237,25.1711012,83.67942903,
2005,,2.3,0.46249678,6,8.435897554,4.73,-1.115838474,2.12,14948.12511,42.4,42.25058,11.47999954,1.683732983,30.10586897,87.95828714,
2006,,2.3,0.41616481,5,8.036828847,4.72,-1.142258481,1.92,16149.48034,33.1,37.76289,9.329999924,0.107915126,28.86110456,92.57331232,7.8
2007,,2,,5,6.975326733,4.38,-1.106985641,1.89,17275.95936,27.5,32.51321,7.46999979,1.891788544,20.21570274,,7.9
2008,,1.9,,5,3.595395732,4.22,-1.034880644,1.38,17897.09846,27.7,33.44753,6.849999905,0.659274461,20.50272444,93.82800072,7.4
2009,,1.9,,-3,-4.711194675,4.36,-0.975655674,1.33,17053.93131,26.4,18.78886,8.050000191,-0.344767329,9.921734919,95.89837288,7.3
2010,,2,,-3,-2.984410152,3.96,-0.877957465,1.23,16544.97206,26.8,17.61904,8.449999809,0.402601928,11.84003528,93.41889849,7.2
2011,,1.9,,-3,2.637438335,3.91,-0.84467264,1.3,16981.33549,27.4,29.64695,7.840000153,1.85002511,22.70162998,67.17525125,7.4
2012,19,,,-3,4.107315389,3.82,-0.906140385,1.28,17678.8125,27.2,25.81954,7.409999847,1.307678984,17.71811579,98.7637295,7.7
2013,20,,,4,-0.076772683,3.29,-0.874564612,0.95,17665.24,29.4,23.95724,7.539999962,0.578158732,17.06708751,97.66786136,7.7
2014,19,,,4,-5.209201903,3.28,-0.974347044,0.96,16745.02198,29.5,,6.949999809,0.235301767,11.29120665,,7.8
2015,17,,,4,,2.96,-1.066303598,1.02,,33.1,,6.820000172,,,,
2016,17,,,,,2.88085998,-1.229214592,0.93,,,,7.145999908,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
